,repl,TF
0,왜 여자들이 경찰에 신고 안할까? 라는 생각들만큼,0
1,왜놈,1
2,감동실화냐 와 선생님들..,0
3,꽂추,1
4,금딸 하려면 원본 저장해야 되는 부분인가..진짜 개역겹네,1
5,ㅊㅊㅊㅊ,0
6,아놔 주식 신발에 걸리겠네,0
7, 내가 한 착한일이 나의 죄악을 덮어주지 못함.,0
8,"있는데 굳이 들어와서,,,,,,,,",0
9,눈까러,1
10,상노무,1
11,모든 문제는 틀니와 좌익에 있다는게 내결론이다,1
12,이탈리아 상원의원이 말했죠,0
13,그래도 베트남에 비하면 중국은 선진국임물론 중국도 미개한 나라지만 베트남이 그 정도로 더 미개하단 것임최소한 중국은 대놓고 공무원이 뇌물 요구하진 않는데 베트남은 아직도 대놓고 요구함,0
14,똑같다 ㅋ,0
15,근데 그건 팩트임ㅋㅋ 팩트에 ㅂㄷ거리는 조센1징들,1
16,"이게 팩트지. 터널에선 앞앞차가 안보이고 앞차만 보고 가는데, 앞차가 사고직전에 틀어버리면 어떻게 대비하나. 블박차 욕하는게 대깨문 스러운 논리 ㅉㅉ 물론 안전거리 유지 못한건 잘못이지만 그전에 앞차가 갑자기 브레이크 밟아서 거리가 좁아든건 있는듯.",1
17,후장입사,1
18,특히 저기는 정의당때문에 5프로 지고들어가는 개같은곳임 정의당이 문제 ㅡㅡ,1
19,젓나게,1
20,뽀개,1
21,정상적인 연애 못해봤으니까 그런 환타지 쓰는거잖아.멍청아,1
22,글쓴게이는 저 상표가 무지맘에들었나보다 근데 비싼걸 어쩌냐 ㅠ,0
23,아무쪼록 원만한 해결 되시길!,0
24,혼내줬내 잘했다 ㅇㅂ,0
25,거짓과기만의 인권팔이가 민중에 의해 끌려내려오게 된다는 뜻인듯요즘 역전앞에 태극기부대들이 문재앙틴핵 서명받던데 이미 일이 시작되고있는지도 모른다,0
26,조만간 주진요 만들어지는거아니냐 ,0
27,파일 열기로 해야함,0
28, 그냥 아예 좃병신인데 뭐이렇게 혓바닥이 길어,1
29,니들 때문에 나라 작살난거 안보이냐?,0
30,씹새캬,1
31,하여간 흉기 언플 존나함. 이제 안먹히지 자국민이 호구도 아니고,1
32, 우파는 더이상 가망없어.,0
33,씨팏,1
34,5.거기가 미국 밤인지 낮인지 인증하라니까 튄거요? 앜ㅋㅋㅋㅋ,0
35,미개한 문화 ,1
36,차라리 그냥 무조건 싫다고 해.,0
37,ㅋㅋㅋㅋ 돈내 놓으란거지 7등급 도 못 나오면서 떡밥 물었지,0
38,지스팟,1
39,와 난 55인치인가 그거 이번에 사면서 와이프보고 큰티비를 모하러 사노 했거든 어차피 테블릿 많이 쓰니깐 75면 존나크것다 진짜ㅋㅋㅋㅋ,1
40,보G,1
41,중일에 언론이 있어???ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
42,구단주 조단은 재산 2조 아닌가 ?,0
43,개독교가 얼마나 사이비종교인지는일본을보면 알수 있음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ일본은 개독교가 없는 나라인데 지금까지 미국 다음으로 세계최고 경제대국임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
44,n번방 관련자들 처벌하고 신상공개를 반대하는 남자들은 관계자들 말곤 거의 없음.,0
45,ㅋㅋㅋ 내가 넷마블 장기에서 90승10패인데  ㅋㅋ어찌했냐면 장기도사라는 인공지능프로그램이 있는데 이거 켜놓고 그래로 따라하는거임 존나 나온지오래된 프로그램인데 지는경기가 없음 ㅋㅋ  ,1
46, 근데 그 막줄이 틀림.   남자 ㅅㅌㅊ가 소극적이잖아? 여자들이 존나 좋아함. 지만 보고 딴짓 안할것 같아서,1
47,극혐이네 ㅋㅋ,1
48,저렇게 고의적으로 밀어붙여놓고 이제와서 합의라?,0
49,점입가경,0
50, 나는 더이상 우파 아니야 좌파야,0
51,상식적으로 유튜브 가지고있고 구글맵스며 뭐며 정보화시대에서 유리한 고지는 다 가진 구글이 망할 일은 없지않냐? 해킹당해서 개인정보유출 이런거되지않는이상,0
52,적당히를 넘어 꽐라될때까지 마셔서 문제지,0
53,쌔키,1
54,"좌빨페미들의 검찰개혁---기승전 공수처법조인들의 검찰개혁----검찰의 정치권력으로부터의 독립, 일반시민에 고압적인 검찰문화 개혁",1
55,너 맨날올려서 이런거 척척박사잖어 ㅋㅋㅋ 이색기진짜,1
56,IT사업가?  ㅋㅋ왜 고소당할까 무서워? ㅋㅋㅋ,0
57,80퍼나 90퍼나 에휴;,0
58,어깨 으쓱하면서 입씰룩이는거 존나 귀엽네 ㅋ,1
59,가짜뉴스 안보는 재미요,0
60,뽁큐,1
61,호주,0
62, sm 이대로가면 답이없을듯,0
63,지 장비 일본 스키장에 두고 왔다고 자랑스럽게 떠벌림. ㅋㅋ갔더니 너무너무 좋았다고. 너무 좋아서 다시 가려고 했다고 함. ㅋㅋㅋㅋ,1
64,정치 종속자들,0
65,아니지 그냥 똥꼬충을 혐오 하는것 뿐이지,1
66,짝짝짝. 시방새는 별로,1
67,우리집도 제사 없는데 제사를 꼭 해야 한다면 부모님만 모시는게 낫다는 1인,0
68,보따리 장사질 하고 있네?,0
69,ㅋㅋ 모든걸 거르는 일게이들,0
70,좃나,1
71,그지좃빱,1
72,진짜 주제 모르고 존나 나대네 ㅋㅋ,1
73,따일 화산 따였뿟노이기,1
74,게섹,1
75,한국도 그러지않나 ㅋㅋㅋ 평소엔 이름만 부르시는데성까지 같이 부르시면 뭔가 화나신게 분명함 ㄷㄷㄷ,0
76,씨박,1
77,계정신고해라,0
78,jazi,1
79,이게 모든 인간들이 같ㄱㄴ한데,0
80,친구가 명의는 어차피 이혼할땐 아~~무상관없다던데ㅋㅋ 자기는 그냥 명의주고 평생 생색낸다더라 ,0
81,WIN10 업그레이드 했냐??,0
82,수지 화장 벗긴모습이랑 노무 닮았는데,0
83,"간만에 이단어가 떠오르는군 ""이뭐병""",1
84,싸앙년,1
85,마약도 돈내고 정당하게 사는거긴 하지.,0
86,여자보지,1
87,쌍뇽,1
88,중대수학 좋지,0
89,"바가지 쓸일이 없는게 택시는 그랩, 숙소는 숙소앱, 기타 다 정찰제로 되어있어서 흥정할 일이 없음.",0
90,"레드벨벳은 어차피 조이도 페미고, 아이린도 82년생 김지영 인증했는데 뭐. 오염은 이미 예전에 됐지",0
91,한국이 하면 빨갱시짓?,1
92,이야기해서 그담날 사장님 덕에 돈 많이 벌고갑니다 문자 남김.,0
93,나가리 올림픽,0
94,개싘,1
95,빠구리,1
96,곧휴,1
97,쌰앙뉸,1
98,503이 무능해서그럼,0
99,일본이 지금 평균 신규 채용보다 퇴직자가 더많아 현시점 고령화 일본이 너무 압도적이라 당장 취직자체는 확실히 많이 열려있음다만 단점은 전세문화는 우리나라뿐이라 자리 잡을떄까지 월세압박 좆될거임,1
100,진교수! 상대할때 빡치는데 같이 편먹으니 탱킹 짱임!,0
101,예상 ㅈㅎ 주려다 문 욕하는거라 아무것도 안줌,0
102,동물구조 부르거나 유기견 보호센터가면 그냥 안락사다차라리 산에서 노숙견으로 사는게 나음,0
103,꼽사리,1
104,우좀 병신들은 대가리를 깨야해이런 새끼들이 정치질하는거보면 어디 금붕어새끼들 키보드치는 줄 알자너ㅋ,1
105,씹헐,1
106,씹색히,1
107,우리가 남이가~,0
108,오르가즘,1
109, 한국에 아파치가 36대 있음 한번에 북괴 기갑전력은 다 날아감,1
110,주행느낌은 개취의 영역이라 그런겁니다 다 달라요,0
111,짤 선택이 왤케 틀딱같냐,1
112,돈 좀 빨아먹으려고,0
113,그래서 일본 백화점 이런 고급 슈퍼도 타겟을 젊은층 보다는 부자 노인으로 공략중 ,0
114,씹쌔키,1
115,ㅋㅋㅋ그러네,0
116,"6. 그라우베 페이토쟈는""브라질리언 킥""을 만든 (1988년인가 1989년도에 그의 스승격인 프란시스코 휘리오 당시선수가 만들었다고 주장함)애제자로써 프란시스코 휘리오는 재일교포 2세 문장규(마쓰이 쇼케이)와 함께 극진회 슈퍼스타였지.. 어쨋든 스승이 극진쪽에선 적이 없는 괴물 스테미너의 선수였지만 k1에서 성공을 못하자 자신의 제자로 만회하련 느낌이 들었음 (실제 경기에 자주 관전및 코칭스탭으로 나옴) 근데 이때 그의 평생의 악연?인 후배~ 정도회관의 슈퍼스타 쉐미슐트가 전성기때라서 두고두고 (내가 알기론 4번 경기치뤄서 모두 패함) 수년간 큰 아픔을 겪었지. 실제 둘의 경기때에는 극진회 주제가,깃발 나오고 오야마 마스타츠(최영의 초대총재) 이름 나오고 다음에 후배격인 정도회관 주제가와 깃발나오고 이시이 카즈요시(정도회관 초대총재 /실은 요절한 다른 인물이 정도회관 설립에 중추였는데 이름이'"":;"")나왔던..",0
117,한양대안산좀 업그레이드해줘 제발부탁,0
118,개돼지 대구민들 ㅜㅜ,1
119,시신처리 비용은 유가족 몫으로 하고요. 강력 범죄자 새끼들 인권 같은 좆같은 소리 하지 말고. 집행 합시다.,1
120,05게이인데.해빔소스 못무봐따...,1
121, 지금 너혼자 울분을 토해도 이미 김치국은 망하기 전까지는 그대로 있는거 퍼먹기로 정해졌다,1
122,정의롭고 깨어있는 이 시대의 행동하는 양심이시다. 욕하지마라.,0
123,1500000000 ㄷㄷㄷㅁㅈㅎ,0
124,저러다 뒤지면 후방주시 태만으로 버스기사한테 책임 묻겠지,0
125,일본은 금융으로 돈 버는 나라다,0
126,절대선은 아니지만 적어도 국제사회의 룰이지,0
127,버섯돌이가 떠오르네요......,0
128,곧 4월이노ㅠㅠ,0
129,ㄹㅇ 명령을 그렇게 칼같이 내야 공권력이 살고 아가리 닥치고있지노무현때 촛불들었으면 애새끼들 다 화형당했을듯,1
130,보고느낀것레미본야스키 사진씹간지최홍만 브록 경기존나기대햇엇는데 김민순가누구로 대체대서 노무아쉬었던기억홍만이 타이슨은언제만낫누,1
131,아개재밋어 ㅋㅋㅋㅋ,0
132,이마니보다 조빱이네~~?? ㅋㅋㅋㅋㅋㅋㅋ,1
133,옛날에 댕댕이 2마리랑 냥이 1마리가 집 찾아가는 영화 머나먼 여정이라고 있었는데 그거 배경이 샌프란이어서 한 번 가고 싶었다,0
134," 단언함,물론 30%의 공무원은 필요하긴함",0
135," 3·1 만세 운동 진압 목적으로 결성되었으며, 전라북도에서 처음 조직되어 전국으로 확대되었으나 자제단 만큼 세를 확장하지는 못했다. 자제단 만큼 실적을 올리지는 못하였으나 각지에 설립되어 3·1 만세 운동 참여자를 설득, 귀가조치 하거나, 불응하는 자는 지부와 본부를 통해 경찰에 신고하였다. 다른 이름은 자생단이다.[1]",0
136,병씬,1
137,수영할때 음파음파,0
138, 주로 은행쪽 전문인데 은행이 줄어들고 있어서 일감 많이 떨어짐.,0
139,팸코충 ㅁㅈㅎ!!!!!,0
140,씹쎄,1
141,밝은 회색이 유행이라던데,0
142,갓 블리스 유에스에이 ㅋㅋㅋ,0
143,몸캠,1
144,모르고 당하면 갑작스러운 사태에 혼돈 그 자체일 사람이 얼마나 고통스러울지 생각해봐,0
